urlDetail,houseType,housePic,agentPic,agentPeople,agentCompany,price,location,bed,bathroom,carpark,agentCompanyPic
https://www.realestate.com.au/property-apartment-vic-southbank-423732694,apartment,https://i4.au.reastatic.net/640x480/ecde8ebd01fd061d8aaacdde7daa2c6a6f2dfdbe781926999f617749e5aec493/main.jpg,,,Inner Urban Real Estate - Southbank,610,"1304/7 Riverside Quay, Southbank, Vic 3006",1,1,1,https://i3.au.reastatic.net/agencylogo/PJTGKG/12/20100420122752.gif
https://www.realestate.com.au/property-apartment-vic-southbank-423623738,apartment,https://i3.au.reastatic.net/640x480/8bef979997ef21d2a94330f980004086cb4ed79ea3ef09c9ecb75ab121c552ab/main.jpg,,,Inner Urban Real Estate - Southbank,"1,350","4410/7 Riverside Quay, Southbank, Vic 3006",3,2,2,https://i3.au.reastatic.net/agencylogo/PJTGKG/12/20100420122752.gif
https://www.realestate.com.au/property-apartment-vic-richmond-423623702,apartment,https://i1.au.reastatic.net/640x480/42307f1d028f0568fc2e5c048799f72ba76434c7560f8092c181f98c7c100f01/main.jpg,https://i3.au.reastatic.net/120x160/5041eca63aa066d725953236c5e4737ab12d67a3c798ecd7d070af63081811cf/main.jpg,Sarah Holdsworth,The Hopkins Group - MELBOURNE,440,"503/37-39 Bosisto Street, Richmond, Vic 3121",1,1,1,https://i4.au.reastatic.net/agencylogo/JIDKOW/12/20150702141503.gif
https://www.realestate.com.au/property-apartment-vic-north+melbourne-423623158,apartment,https://i1.au.reastatic.net/640x480/d36cd984319226d5caf1036f9d4053ee629aaf554870786b43db10c4e5ecc36a/main.jpg,https://i1.au.reastatic.net/120x160/38a91517cb44919585775b64a9afd6e26beec44262638623d9a34c2885fe5a2a/main.jpg,Nicole Stojcevski,Woodards Northern - Carlton,400,"108 Munster Terrace, North Melbourne, Vic 3051",1,1,1,https://i4.au.reastatic.net/agencylogo/XTNCAR/12/20180129130037.gif
https://www.realestate.com.au/property-apartment-vic-southbank-423497730,apartment,https://i3.au.reastatic.net/640x480/5ac86049ac488b4f229026b0f751d43f1208f63f9a68418e85613a441452eed0/main.jpg,https://i2.au.reastatic.net/120x160/0032808a4ac1453b9dc5dc42eae738f85d07f26417a8709fdebe93681bdb5dbf/main.jpg,Southbank Leasing Office,MICM Real Estate  - SOUTHBANK ,"1,650","5002/35 Queensbridge Street, Southbank, Vic 3006",3,2,2,https://i2.au.reastatic.net/agencylogo/XMIMEL/12/20170705172609.gif
https://www.realestate.com.au/property-apartment-vic-southbank-423622134,apartment,https://i4.au.reastatic.net/640x480/27053b7b2f711a73eb64a623e282ff0bc7c945bfab77188c93aac1a9d033f25b/main.jpg,,,Enrich Realty Group - MELBOURNE,,"403/68-70 Dorcas Street, Southbank, Vic 3006",2,1,1,https://i3.au.reastatic.net/agencylogo/ZWBNRY/12/20180507073331.gif
https://www.realestate.com.au/property-townhouse-vic-richmond-423621886,townhouse,,https://i3.au.reastatic.net/120x160/fc6d6ad34a429ba7b520a00f284bd9a56d2e3a8a8fb3738c4773b4ee370b5e59/main.jpg,Rental Department,Ovation Real Estate - SOUTH MELBOURNE,,"4/37 Davison Street, Richmond, Vic 3121",2,1,1,https://i1.au.reastatic.net/agencylogo/CEPEUT/12/20140112204702.gif
https://www.realestate.com.au/property-apartment-vic-st+kilda-423621582,apartment,,https://i3.au.reastatic.net/120x160/1f52044bee198374930f6aaaa39cb4254778a0d862c926a2057978ded1c71ddb/main.jpg,Lucas Marsh,Buxton - St Kilda,380,"207/196 St Kilda  Road, St Kilda, Vic 3182",1,1,,https://i4.au.reastatic.net/agencylogo/RRENRK/12/20170905164243.gif
https://www.realestate.com.au/property-apartment-vic-south+yarra-423730238,apartment,https://i1.au.reastatic.net/640x480/551a38260d70ea895081919d97796118a0ed3da7d6e102645290579f99e077e0/main.jpg,https://i4.au.reastatic.net/120x160/254e9133673de250db7b8f66013244cec41924dadb6947e737329999625cafcb/main.jpg,Courtney Lancaster,LITTLE Real Estate  - SOUTH YARRA,400,"3/432 Punt Road, South Yarra, Vic 3141",2,1,1,https://i4.au.reastatic.net/agencylogo/RUPOAK/12/20151201162751.gif
https://www.realestate.com.au/property-house-vic-south+melbourne-423730126,house,https://i2.au.reastatic.net/640x480/50ee4208eb0225c55f45f5afcf01805adee2498a4f2332831e3ab7eb36347ba1/main.jpg,https://i1.au.reastatic.net/120x160/209111360ca15c7b5754260b97929312eae1bae39d4ded96e3703dab6db800ee/main.jpg,Carlo Russo,Greg Hocking Holdsworth - Albert Park,670,"30 Mountain Street, South Melbourne, Vic 3205",2,1,1,https://i1.au.reastatic.net/agencylogo/WIDMVL/12/20171201094110.gif
https://www.realestate.com.au/property-apartment-vic-richmond-423730022,apartment,https://i3.au.reastatic.net/640x480/86e1859d85cc2df6029248160bb4cb77d7f75863f2effc79c0b872ab05b844fa/main.jpg,https://i4.au.reastatic.net/120x160/bfbde28b20695112165668a9420617ddc36feaaca4e920abf1ba173834971fac/main.jpg,Leonorra Ward,hockingstuart  - Richmond,430,"10/108 Mary Street, Richmond, Vic 3121",2,1,1,https://i2.au.reastatic.net/agencylogo/XHSRIA/12/20170523145737.gif
https://www.realestate.com.au/property-apartment-vic-richmond-423620946,apartment,https://i1.au.reastatic.net/640x480/97aed7a9a164b4c06e26e0c673345370ed2300d8864206a976f9d2fe19f1eac2/main.jpg,https://i1.au.reastatic.net/120x160/c69f9e80f6a06e1ee3925f1e8be17017bd0255af04d9bc3d504f1b08d1e115e9/main.jpg,Maddison Constantinou,hockingstuart  - Richmond,400,"114/13 Acacia Place, Richmond, Vic 3121",1,1,1,https://i2.au.reastatic.net/agencylogo/XHSRIA/12/20170523145737.gif
https://www.realestate.com.au/property-house-vic-fitzroy-423620830,house,https://i3.au.reastatic.net/640x480/7175391ed1e43261f33caf175782cc9ef955d55280bdd75e62b41f3761312070/main.jpg,https://i2.au.reastatic.net/120x160/6a7efe68ba6f19ad0ae86fa66e35adf92d7b1c7189560d9f1044b0ed96783a80/main.jpg,David Chung,Jellis Craig Inner North Property Management -     ,680,"194 Moor Street, Fitzroy, Vic 3065",2,1,,https://i2.au.reastatic.net/agencylogo/XHSBRU/12/20160928130651.gif
