urlDetail,houseType,housePic,agentPic,agentPeople,agentCompany,price,location,bed,bathroom
https://www.domain.com.au/51-30-russell-street-melbourne-vic-3000-12153508,Apartment,https://rimh2.domainstatic.com.au/9sbhQOEpHRt298bjk1wSTCrxSGQ=/660x440/filters:format(jpeg):quality(80)/11355655_1_0_170504_025519-w797-h596,https://rimh2.domainstatic.com.au/aR8dfzmJpduKC6HC0D8R3OwzsT4=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/27877/contact_1368559.jpeg?mod=170529-124716,Julie Strnak,Ace Real Estate Abbotsford,440,"51/30 Russell Street,MELBOURNE,VIC,3000",1,1
https://www.domain.com.au/139-bourke-street-melbourne-vic-3000-12154469,Apartment,https://rimh2.domainstatic.com.au/AgyxV5-Jqo_ZBoBduuswTDaV8rs=/660x440/filters:format(jpeg):quality(80)/12154469_1_1_180516_042744-w800-h533,null,,Dynamic Residential,426,"139 Bourke Street,MELBOURNE,VIC,3000",1,1
https://www.domain.com.au/509-360-st-kilda-road-melbourne-vic-3000-12173719,Apartment,https://rimh2.domainstatic.com.au/Ip34I5CcdOWyLhV3ZU2bnAE-itM=/660x440/filters:format(jpeg):quality(80)/12173719_1_1_180509_065934-w1316-h876,https://rimh2.domainstatic.com.au/aR8dfzmJpduKC6HC0D8R3OwzsT4=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/27877/contact_1368559.jpeg?mod=170529-124716,Julie Strnak,Ace Real Estate Abbotsford,410,"509/360 St Kilda Road,MELBOURNE,VIC,3000",1,1
https://www.domain.com.au/40-reed-street-albert-park-vic-3206-12177965,House,https://rimh2.domainstatic.com.au/w9loFOHXFRN1C7xSdAHP09UV0oM=/660x440/filters:format(jpeg):quality(80)/11182306_5_0_170214_041454-w1600-h1066,https://rimh2.domainstatic.com.au/E5Pto45QrFEPUApfCe0pmUOQ71c=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/17566/contact_1387470.jpeg?mod=171124-132035,Carlo Russo,Greg Hocking Holdsworth,1400,"40 Reed Street,ALBERT PARK,VIC,3206",3,2
https://www.domain.com.au/204-18-bank-place-melbourne-vic-3000-12181417,Apartment,https://rimh2.domainstatic.com.au/EQLIilYZg6w3YlwimuQnewqzzN4=/660x440/filters:format(jpeg):quality(80)/12181417_1_1_180514_022716-w1600-h1200,null,Andrea Lisanti,Galldon Real Estate,330,"204/18 Bank Place,MELBOURNE,VIC,3000",1,1
https://www.domain.com.au/280-dorcas-street-south-melbourne-vic-3205-12191364,House,https://rimh2.domainstatic.com.au/YOR_O9pB3Vtn3RVG_UPSxvKJEBk=/660x440/filters:format(jpeg):quality(80)/12191364_1_1_180517_035040-w1600-h1066,https://rimh2.domainstatic.com.au/E5Pto45QrFEPUApfCe0pmUOQ71c=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/17566/contact_1387470.jpeg?mod=171124-132035,Carlo Russo,Greg Hocking Holdsworth,1900,"280 Dorcas Street,SOUTH MELBOURNE,VIC,3205",3,2
https://www.domain.com.au/45-huckerby-street-richmond-vic-3121-12191623,Townhouse,https://rimh2.domainstatic.com.au/2jZBe-CwhZI4lOx4IQ8hq7yWMuQ=/660x440/filters:format(jpeg):quality(80)/12191623_1_1_180517_044024-w1600-h1200,https://rimh2.domainstatic.com.au/kZv3R8nbj3wAe9x0QA0TAo3IGB8=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/16646/contact_1243712.jpeg?mod=180517-144044,Joanne Pearson,McGrath St Kilda,1500,"45 Huckerby Street,RICHMOND,VIC,3121",3,3
https://www.domain.com.au/4-416-gore-street-fitzroy-vic-3065-12178862,Apartment,https://rimh2.domainstatic.com.au/W464ksrUdD7zuaXAQVzDGXBdYDU=/660x440/filters:format(jpeg):quality(80)/12178862_1_1_180511_044024-w1600-h1065,https://rimh2.domainstatic.com.au/XkLv7rvONunM9N3gZ45k4Zw6uI8=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/4394/contact_1330643.jpeg?mod=180517-134820,David Chung,Jellis Craig Inner North Property Management,7600,"4/416 Gore Street,FITZROY,VIC,3065",2,2
https://www.domain.com.au/12-238-the-avenue-parkville-vic-3052-12179355,Apartment,https://rimh2.domainstatic.com.au/NWEaK674SxHXvyRntZs-_fEqYgc=/660x440/filters:format(jpeg):quality(80)/12179355_1_1_180511_061258-w1000-h667,https://rimh2.domainstatic.com.au/-drMhWitgfYB_ArLJnA9FNNl5gU=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/4394/contact_1336552.jpeg?mod=180517-151612,David Quattrocchi,Jellis Craig Inner North Property Management,7600,"12/238 The Avenue,PARKVILLE,VIC,3052",3,2
https://www.domain.com.au/108-park-street-south-yarra-vic-3141-12179843,House,https://rimh2.domainstatic.com.au/UedOnvEDqz3nJIXKkpQqdT1iC5Q=/660x440/filters:format(jpeg):quality(80)/12179843_1_1_180511_074110-w800-h600,https://rimh2.domainstatic.com.au/EQNBdiLbmmIucD_yswFSRGtq--8=/55x55/filters:format(jpeg):quality(80)/https://images.domain.com.au/img/7920/contact_1382308.jpeg?mod=180517-165412,Ginni Sidhu,Williams Batters,1300,"108 Park Street,SOUTH YARRA,VIC,3141",3,2
